Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6-29-2016  4:25PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  control_emulator.ngd
output file: control_emulator_pad.csv
Part type:   xcr3064xl
Speed grade: -10
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TDI,,I/O/TDI,,,,,,,,,,
P2,mode_select,I,I/O,INPUT,,,,,,,,,
P3,reset_out,O,I/O,OUTPUT,,,,,,,,,
P4,PE,,PORT_EN,,,,,,,,,,
P5,qie_reset_out,O,I/O,OUTPUT,,,,,,,,,
P6,wte_out,O,I/O,OUTPUT,,,,,,,,,
P7,TMS,,I/O/TMS,,,,,,,,,,
P8,peltEnab1,O,I/O,OUTPUT,,,,,,,,,
P9,VCC,,VCC,,,,,,,,,,
P10,WPU,,I/O,,,,,,,,,,
P11,peltEnab2,O,I/O,OUTPUT,,,,,,,,,
P12,WPU,,I/O,,,,,,,,,,
P13,WPU,,I/O,,,,,,,,,,
P14,WPU,,I/O,,,,,,,,,,
P15,WPU,,I/O,,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,VCC,,VCC,,,,,,,,,,
P18,WPU,,I/O,,,,,,,,,,
P19,WPU,,I/O,,,,,,,,,,
P20,aux_in,I,I/O,INPUT,,,,,,,,,
P21,aux_out,O,I/O,OUTPUT,,,,,,,,,
P22,aux2,I,I/O,INPUT,,,,,,,,,
P23,aux3,I,I/O,INPUT,,,,,,,,,
P24,GND,,GND,,,,,,,,,,
P25,reset_switch,I,I/O,INPUT,,,,,,,,,
P26,TCK,,I/O/TCK,,,,,,,,,,
P27,clk_out_p2,O,I/O,OUTPUT,,,,,,,,,
P28,GPIO_Extra0,I,I/O,INPUT,,,,,,,,,
P29,VCC,,VCC,,,,,,,,,,
P30,pgood,I,I/O,INPUT,,,,,,,,,
P31,penable,O,I/O,OUTPUT,,,,,,,,,
P32,TDO,,I/O/TDO,,,,,,,,,,
P33,WPU,,I/O,,,,,,,,,,
P34,WPU,,I/O,,,,,,,,,,
P35,qie_reset_in,I,I/O,INPUT,,,,,,,,,
P36,GND,,GND,,,,,,,,,,
P37,clk_in_j1,GCK/I,IN3/GCK3,,,,,,,,,,
P38,ext_clk_in,GCK/I,IN2/GCK2,,,,,,,,,,
P39,int_clk_in,GCK/I,IN1/GCK1,,,,,,,,,,
P40,WPU,,IN0/GCK0,,,,,,,,,,
P41,VCC,,VCC,,,,,,,,,,
P42,qie_reset_source,I,I/O,INPUT,,,,,,,,,
P43,WPU,,I/O,,,,,,,,,,
P44,clk_select,I,I/O,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


